8110F18103	->	83F110C16B8F3F
8310F11081263B	->	82F110508154
8210F13E01C2	->	81F1107E00
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
8210F1210FB3	->	80F11035610F000000000000000000000000000000000000000000000000000000C00000000000000000000000000000000000000000000000E6
